dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Oakvale Pie,WATERFORD,Race 4,09:02,2,0.8,0.3,0.1,0.4
Coco Houdini,WATERFORD,Race 6,09:34,5,0.8,0.4,0.2,0.2
Nans Falcon,WATERFORD,Race 8,10:07,4,0.8,0.3,0.3,0.2
Bing Holly,WATERFORD,Race 8,10:07,1,0.8,0.2,0.3,0.3
Glenbervie Elsa,WATERFORD,Race 9,10:23,3,0.8,0.1,0.4,0.3
Maffra Zara,WATERFORD,Race 9,10:23,5,0.8,0.4,0.2,0.2
Whiteys Marathon,WATERFORD,Race 10,10:41,1,0.8,0.2,0.2,0.4
Dotty Dot,NOTTINGHAM,Race 1,11:06,5,0.8,0.1,0.3,0.4
Leazes Fergus,TOWCESTER,Race 2,11:09,1,0.8,0.2,0.2,0.4
Penniment Keen,NOTTINGHAM,Race 2,11:21,1,0.9,0.2,0.4,0.3
Whats Up Jonjo,SHEFFIELD,Race 4,11:58,6,0.8,0.2,0.2,0.4
Battle Scared,NOTTINGHAM,Race 5,12:06,5,0.9,0.3,0.3,0.3
Ballyoak Wilma,CENTRAL PARK,Race 7,12:16,2,0.8,0.2,0.4,0.2
Tintreach Redzer,CENTRAL PARK,Race 7,12:16,3,0.9,0.2,0.5,0.2
Tell No Lies,SHEFFIELD,Race 7,12:43,4,0.8,0.3,0.3,0.2
Sirius Conor,NOTTINGHAM,Race 8,12:51,4,0.8,0.0,0.6,0.2
Rockmount Dove,SHEFFIELD,Race 8,12:58,1,0.8,0.4,0.1,0.3
Ballybough Karl,TOWCESTER,Race 11,13:24,2,0.9,0.2,0.4,0.3
Wildcat Lilymay,TOWCESTER,Race 11,13:24,3,0.8,0.1,0.5,0.2
Azza Mojo,CENTRAL PARK,Race 12,13:33,6,0.8,0.2,0.2,0.4
Crinkill Captain,SHEFFIELD,Race 11,13:44,4,0.8,0.3,0.3,0.2
Ballymac Maya,NEWCASTLE,Race 1,14:04,3,0.9,0.2,0.4,0.3
Ballymac Yoyo,CRAYFORD,Race 2,14:07,6,0.8,0.2,0.4,0.2
Nine Of Spades,CRAYFORD,Race 2,14:07,2,0.8,0.3,0.3,0.2
Pernera Mollie,ROMFORD,Race 3,14:32,5,0.8,0.3,0.4,0.1
Wraysbury Sky,NEWCASTLE,Race 3,14:36,6,0.8,0.1,0.4,0.3
Emers Vinnie,NEWCASTLE,Race 3,14:36,5,0.9,0.5,0.4,0.0
Bramble Willow,NEWCASTLE,Race 3,14:36,4,0.8,0.3,0.5,0.0
Dece Red,CRAYFORD,Race 4,14:42,6,1.0,0.2,0.6,0.2
Highclere Zena,NEWCASTLE,Race 4,14:54,2,0.8,0.3,0.2,0.3
Hoskys Legacy,CRAYFORD,Race 7,15:38,5,0.9,0.2,0.5,0.2
Leamaneigh Mist,CRAYFORD,Race 7,15:38,6,0.8,0.3,0.3,0.2
Blakes Seven,ROMFORD,Race 7,15:48,6,0.8,0.2,0.1,0.5
Little Venture,NEWCASTLE,Race 8,16:04,2,0.9,0.3,0.4,0.2
Mayses Ollie,ROMFORD,Race 8,16:08,3,0.8,0.3,0.4,0.1
Talking Magpie,SWINDON,Race 2,16:14,4,0.9,0.2,0.4,0.3
Colarhouse Foxy,CRAYFORD,Race 9,16:18,4,0.8,0.2,0.3,0.3
