dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Slaneyside Simba,WATERFORD,Race 4,09:02,6,0.8,0.3,0.4,0.1
Placid Pilgrim,WATERFORD,Race 7,09:52,6,0.8,0.4,0.2,0.2
Slaneyside Defoe,WATERFORD,Race 7,09:52,5,0.9,0.4,0.3,0.2
Ballygur Star,WATERFORD,Race 7,09:52,1,0.8,0.2,0.3,0.3
Kingsmill Sparta,WATERFORD,Race 8,10:07,1,0.8,0.5,0.0,0.3
Glenbervie Elsa,WATERFORD,Race 9,10:23,2,0.8,0.1,0.4,0.3
Bing Holly,WATERFORD,Race 9,10:23,1,0.8,0.1,0.3,0.4
Joe Nuggets,WATERFORD,Race 10,10:41,3,0.9,0.4,0.3,0.2
Sirius Conor,NOTTINGHAM,Race 1,11:06,4,0.9,0.1,0.6,0.2
Whats Up Jonjo,SHEFFIELD,Race 1,11:13,6,0.8,0.2,0.2,0.4
Difficult Day,SHEFFIELD,Race 1,11:13,2,0.8,0.3,0.3,0.2
White Flash,TOWCESTER,Race 3,11:24,4,0.8,0.3,0.1,0.4
Piercestown Gift,NOTTINGHAM,Race 3,11:36,5,1.0,0.4,0.3,0.3
Ridgedale Carol,NOTTINGHAM,Race 6,12:21,5,0.8,0.2,0.3,0.3
Talk Of The Town,TOWCESTER,Race 8,12:39,3,0.8,0.1,0.2,0.5
Tullymurry Amber,SHEFFIELD,Race 7,12:43,5,0.9,0.2,0.3,0.4
Phoenix Cavani,SHEFFIELD,Race 7,12:43,1,0.8,0.5,0.3,0.0
Catwalk Queen,TOWCESTER,Race 9,12:54,3,0.8,0.3,0.2,0.3
Fabulous Roxy,TOWCESTER,Race 9,12:54,2,0.8,0.1,0.3,0.4
Piercestown Mark,SHEFFIELD,Race 8,12:58,5,0.8,0.4,0.1,0.3
Savana Sailor,TOWCESTER,Race 10,13:09,6,0.8,0.1,0.6,0.1
Tuftys Dora,TOWCESTER,Race 10,13:09,2,0.9,0.5,0.3,0.1
Good Material,SHEFFIELD,Race 9,13:13,6,1.0,0.5,0.3,0.2
Westmead Ali,TOWCESTER,Race 11,13:24,2,0.8,0.3,0.3,0.2
Makeit For Ella,TOWCESTER,Race 11,13:24,3,0.8,0.3,0.0,0.5
Miss Unique,SHEFFIELD,Race 10,13:28,4,0.9,0.2,0.5,0.2
Summer Sateen,NOTTINGHAM,Race 11,13:36,1,0.8,0.1,0.4,0.3
Makeit Gertcha,TOWCESTER,Race 12,13:39,2,0.9,0.4,0.3,0.2
Savana Tailor,TOWCESTER,Race 12,13:39,5,0.9,0.3,0.2,0.4
Deelish Mags,SHEFFIELD,Race 11,13:44,4,0.8,0.2,0.4,0.2
Kilara Music,SHEFFIELD,Race 11,13:44,6,0.8,0.2,0.4,0.2
Magna Brennan,SHEFFIELD,Race 11,13:44,3,0.8,0.1,0.4,0.3
Millabbey Laura,CRAYFORD,Race 1,13:49,5,0.8,0.2,0.4,0.2
Not So Tardo,ROMFORD,Race 1,13:57,1,0.8,0.2,0.2,0.4
Bramble Orla,NEWCASTLE,Race 1,14:04,1,0.8,0.1,0.3,0.4
Bang On Esmae,ROMFORD,Race 2,14:12,5,0.8,0.1,0.2,0.5
Ballymac Yoyo,CRAYFORD,Race 3,14:23,6,1.0,0.2,0.5,0.3
Highclere Zena,NEWCASTLE,Race 3,14:36,2,0.8,0.3,0.2,0.3
Darver Elayne,NEWCASTLE,Race 3,14:36,6,0.8,0.1,0.4,0.3
Hawthorn Polly,ROMFORD,Race 5,15:11,3,0.9,0.2,0.5,0.2
Waste House Izzy,ROMFORD,Race 5,15:11,6,0.8,0.3,0.0,0.5
Alnwick Logan,NEWCASTLE,Race 6,15:26,6,0.8,0.3,0.3,0.2
A Bit Of Beauty,NEWCASTLE,Race 7,15:44,1,0.8,0.3,0.4,0.1
Racecourse Court,SWINDON,Race 2,16:14,3,0.8,0.2,0.3,0.3
Burgess Sonia,ROMFORD,Race 9,16:28,1,0.9,0.2,0.4,0.3
Ballymac Joe,CRAYFORD,Race 11,16:58,6,1.0,0.3,0.5,0.2
Ellies Pet,CRAYFORD,Race 12,17:18,1,0.8,0.3,0.3,0.2
Brosna Pet,SWINDON,Race 7,17:52,4,0.8,0.4,0.3,0.1
Moment Of Hope,SWINDON,Race 7,17:52,5,0.8,0.1,0.4,0.3
Too Many Men,CRAYFORD,Race 14,17:54,1,0.8,0.6,0.2,0.0
To Tone Kat,ROMFORD,Race 14,18:02,3,0.8,0.3,0.2,0.3
Nutty Decision,MONMORE,Race 1,18:17,3,0.9,0.2,0.3,0.4
Madabout Jade,SUNDERLAND,Race 1,18:19,1,0.8,0.4,0.3,0.1
Drahbeg Diva,PERRY BARR,Race 1,18:26,2,0.9,0.4,0.3,0.2
Final Hannah,MONMORE,Race 2,18:33,4,0.9,0.3,0.3,0.3
Ballybrien Slick,SUNDERLAND,Race 3,18:51,1,0.9,0.0,0.4,0.5
Granree Eve,PERRY BARR,Arena Racing Company Maiden Dash,18:59,4,0.9,0.3,0.2,0.4
Staying Sharp,PERRY BARR,Arena Racing Company Maiden Dash,18:59,5,1.0,0.2,0.5,0.3
Darcis Rio,MONMORE,Race 4,19:07,2,0.9,0.2,0.3,0.4
Brooklawn Gloss,SUNDERLAND,Race 4,19:09,3,1.0,0.3,0.6,0.1
Ragtime Sid,HOVE,Race 5,19:18,3,0.8,0.2,0.2,0.4
Abigails Sugar,MONMORE,Race 5,19:24,6,0.9,0.4,0.3,0.2
Tommys Pluto,HOVE,Race 6,19:36,2,0.9,0.3,0.4,0.2
Only Maloney,HOVE,Race 6,19:36,5,0.8,0.3,0.4,0.1
Grouchos Cain,LIMERICK,Race 4,19:42,5,0.8,0.1,0.4,0.3
Trionas Travel,PERRY BARR,Arena Racing Company Winner Of One,19:51,5,0.8,0.3,0.2,0.3
Affane News,PERRY BARR,Arena Racing Company Winner Of One,19:51,2,1.0,0.6,0.3,0.1
Imahappylassie,HOVE,Race 7,19:56,5,0.8,0.4,0.1,0.3
Mine Robin,LIMERICK,Race 6,20:09,1,0.8,0.3,0.2,0.3
Banner Puma,SUNDERLAND,Race 8,20:12,1,0.8,0.3,0.2,0.3
Hather Daisy,PERRY BARR,Arena Racing Company Stayers,20:21,4,0.9,0.3,0.3,0.3
Bower Turbo,PERRY BARR,Arena Racing Company Standard,20:36,3,0.9,0.3,0.3,0.3
Diddlers Diva,SUNDERLAND,Race 10,20:46,6,0.8,0.1,0.5,0.2
Dromoher Alice,LIMERICK,Race 8,20:47,5,0.8,0.3,0.5,0.0
Spartadash,HOVE,Race 10,20:54,5,0.8,0.1,0.3,0.4
Noduff Bellagio,MONMORE,Race 10,21:02,6,0.8,0.4,0.2,0.2
Stonepark Sally,PERRY BARR,Race 11,21:11,4,0.8,0.2,0.2,0.4
Candolim Oasis,HOVE,Race 11,21:12,1,0.8,0.3,0.2,0.3
Kerrs Lunch,HOVE,Race 12,21:28,3,0.9,0.2,0.3,0.4
